name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Smitty Fire,CAL FIRE Tuolumne-Calaveras Unit,9/4/08 8:00,Calaveras County,100,100 acres - 100% contained,Smitty Lane and West Point Road in West Point,9/1/08 16:29,9/1/08,16:29:00
Snow Fire,San Bernardino National Forest,8/25/07 18:30,San Bernardino County,100,100% contained - 100 acres,Northeast of the town of Pine Cove ,8/21/07 11:57,8/21/07,11:57:00
Sterling Fire,San Bernardino National Forest,6/29/15 9:00,San Bernardino County,100,100 acres - 100% contained *** This is not a CAL FIRE incident.  Please click the link above for more information.,Sterling Avenue x Foothill Drive East,6/25/15 18:30,6/25/15,18:30:00
Tilton Fire,CAL FIRE Santa Clara Unit,1/9/18 12:39,Santa Clara County,100,100 acres - 100% contained,Hale Ave and Tilton Ave in Morgan Hill,8/11/17 14:55,8/11/17,14:55:00
Timm Fire,CAL FIRE Sonoma-Lake-Napa Unit,1/9/18 13:29,Solano County,100,100 acres - 100% contained,"Timm Rd and Peaceful Glen Rd, 5 miles north of Vacaville ",10/2/17 9:37,10/2/17,9:37:00
Water Fire,CAL FIRE San Luis Obispo Unit,1/4/19 10:22,San Luis Obispo County,100,100 acres - 100% contained,"Bitterwater Rd and Bitterwater Canyon Rd, California Valley Area",5/24/18 10:43,5/24/18,10:43:00
Oak Fire,CAL FIRE San Bernardino Unit,1/9/18 13:46,San Bernardino County,99,99 acres - 100% contained,"Off Oak Glen Rd and Pine Bench Rd, east of Oak Glen",11/29/17 12:19,11/29/17,12:19:00
Bodega Fire,CAL FIRE Sonoma-Lake-Napa Unit,9/26/10 11:50,Sonoma County,98,98 acres - 100% contained,"Bodega Bay, Highway 1 Just north of Bodega Highway",9/25/10 12:30,9/25/10,12:30:00
Highland Fire,CAL FIRE Mendocino Unit,9/29/13 18:15,Mendocino County,98,98 acres - 100% contained,"off Highland Springs Rd, southeast of Kelseyville",9/28/13 13:57,9/28/13,13:57:00
Coyote Fire,CAL FIRE Lassen-Modoc Unit,8/12/13 9:30,Lassen County,97,97 acres - 100% contained,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",8/9/13 15:51,8/9/13,15:51:00
Davis Creek Complex,Modoc National Forest ,9/24/13 20:15,Modoc County,97,97 acres - 100% contained*** This was not a CAL FIRE incident. Click the link above for information from the Modoc National Forest. ***  ,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",9/5/13 15:57,9/5/13,15:57:00
Little Fire,San Bernardino National Forest,8/30/13 8:00,San Bernardino County,97,97 acres - 100% contained*** This was not a CAL FIRE incident.  Please click the link above for more information from the San Bernardino National Forest.***,ear Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,8/24/13 15:09,8/24/13,15:09:00
Windy Fire ,CAL FIRE Butte Unit,6/11/12 18:45,Butte County,97,97 acres - 100% contained,"off Hwy 32 in Deer Creek Canyon, North of Butte Meadows",6/10/12 14:39,6/10/12,14:39:00
Roadrunner Fire,CAL FIRE Amador-El Dorado Unit,6/13/13 9:45,Amador County,96,96 acres - 100% contained.,"Roadrunner Drive, south of Ione",6/12/13 16:43,6/12/13,16:43:00
Sam Fire,Fort Hunter Liggett,1/4/19 10:08,Monterey County,96,96 acres - 100% contained ***This is not a CAL FIRE incident. Click the link for more information on this incident.,"Sam Jones and Jolon Rd, Fort Hunter Liggett ",6/9/18 15:31,6/9/18,15:31:00
Barrett Fire ,CAL FIRE San Diego Unit,8/28/11 10:00,San Diego County,95,95 acres - 100% contained,"1/4 mile east of Battett Lake, noth of Potrero",8/27/11 13:04,8/27/11,13:04:00
Cherry Fire,Klamath National Forest ,9/6/07 18:00,Siskiyou County,95,100% contained - 95 acres Six miles northwest of Sawyers Bar in the Salmon River Ranger District of the Klamath National Forest,6 miles Northwest of Sawyers Bar,8/29/07 19:00,8/29/07,19:00:00
Horseshoe Fire,CAL FIRE Tuolumne-Calaveras Unit,6/21/12 17:20,Calaveras County,95,95 acres - 100% contained,"South Horseshoe & Highway 4, 3 miles northeast of Copperopolis",6/21/12 13:46,6/21/12,13:46:00
Laureles Fire,CAL FIRE San Benito-Monterey Unit,9/21/15 18:20,Monterey County,95,95 acres - 100% contained,off Laureles Grade and Highway 68 ,9/19/15 15:25,9/19/15,15:25:00
Sheep Fire,CAL FIRE Kern County Fire,1/4/19 9:57,Kern County,95,95 acres - 100% contained,"Comanche Point Rd, 3 miles south of Arvin",6/29/18 17:53,6/29/18,17:53:00
Ardo Fire ,CAL FIRE San Benito - Monterey Unit,8/12/11 21:00,Monterey County,94,94 acres - 100% contained,"Hwy 101 and Alvarado Rd, south of San Ardo",8/12/11 15:54,8/12/11,15:54:00
Cody Fire,CAL FIRE Tehama-Glenn Unit,7/17/12 7:20,Tehama County,94,94 acres - 100% contained,"Cody Dr & Probert Ave, South of Red Bluff",7/16/12 22:23,7/16/12,22:23:00
Creek Fire,CAL FIRE San Luis Obispo Unit,9/24/13 17:30,San Luis Obispo County,94,94 acres - 100% contained,"off Toro Creek Rd, east of Cayucos",9/24/13 3:20,9/24/13,3:20:00
Irene Fire,US Forest Service - El Dorado National Forest,9/17/14 18:45,El Dorado County,94,94 acres - 100% contained***This was not a CAL FIRE incident. Click on the link above for more information.,Mokelumne Wilderness,9/14/14 9:15,9/14/14,9:15:00
Sunset Fire,CAL FIRE Nevada-Yuba-Placer Unit,9/30/09 14:32,Placer County,94,94 acres - 100% contained,Sunset Blvd & Foothill Blvd,9/30/09 12:25,9/30/09,12:25:00
Dunstone Fire,CAL FIRE Butte Unit,5/27/16 17:00,Butte County,91,91 acres - 100% contained,"La Porte Road at Dunstone Road, west of Bangor ",5/27/16 13:43,5/27/16,13:43:00
Lilly 2 Fire ,CAL FIRE Madera-Mariposa-Merced Unit,5/20/13 19:10,Madera County,91,91 acres - 100% contained,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,5/19/13 15:07,5/19/13,15:07:00
Pine Fire ,CAL FIRE Fresno-Kings Unit,6/6/12 18:00,Fresno County,91,91 acres - 100% contained,"Pine Flat Rd & Trimmer Springs Rd, northeast of Sanger",6/5/12 14:43,6/5/12,14:43:00
Wilbur Fire,CAL FIRE/Butte County Fire,1/9/18 10:27,Butte County,91,91 acres - 100% contained,"Wilbur rd, north of Oroville Dam blvd    ",6/6/17 12:43,6/6/17,12:43:00
Arrow Complex ,CAL FIRE Humboldt-Del Norte Unit,10/6/12 8:00,Del Norte County,90,90 acres and 100% contained ,"Blue Creek, southeast of Klamath",10/4/12 2:22,10/4/12,2:22:00
Daulton Fire, CAL FIRE Madera-Mariposa-Merced Unit,1/9/18 11:46,Madera County,90,90 acres - 100% contained,"Road 29 and Ave 24, near Daulton",7/7/17 10:00,7/7/17,10:00:00
Loma Fire,CAL FIRE Sonoma-Lake-Napa Unit,11/2/11 8:30,Napa County,90,90 acres - 100% contained.,"Loma Vista Dr & Soda Canyon Rd, north of the City of Napa",11/1/11 21:05,11/1/11,21:05:00
Lonoak  Fire,CAL FIRE San Benito-Monterey Unit,8/11/12 19:15,San Benito County,90,90 acres - 100% contained,"Airline Hwy & Lonoak Rd, north of Bitterwater (San Benito County). ",8/11/12 10:48,8/11/12,10:48:00
Peach Fire ,CAL FIRE Mendocino Unit,1/4/19 9:55,Mendocino County,90,90 acres - 100% contained,"off Peachland Road and Highway 128, north of the Community of Boonville",7/5/18 15:12,7/5/18,15:12:00
Sprig Fire,CAL FIRE Shasta-Trinity Unit,7/31/15 18:30,Shasta County,90,90 acres - 100% contained,"Sprig Way and Millville Plains Rd, Millville; 10 miles southeast of Redding",7/30/15 12:57,7/30/15,12:57:00
Water Fire,CAL FIRE/Riverside County Fire ,5/21/13 19:30,Riverside County,90,90 acres and 100% contained,Off Whitewater Canyon Road in Whitewater,5/21/13 14:16,5/21/13,14:16:00
3-16 Fire,CAL FIRE Lassen-Modoc Unit,1/4/19 9:42,Lassen County,89,89 acres - 100% contained,ear Little Valley,7/15/18 18:54,7/15/18,18:54:00
Flores Fire,CAL FIRE Tehama-Glen Unit,7/1/16 17:45,Tehama County,88,88 acres - 100% contained,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",7/1/16 13:54,7/1/16,13:54:00
Horn Fire,CAL FIRE Lassen - Modoc Unit,1/4/19 8:47,Lassen County,88,88 acres - 100% contained*** This is not a CAL FIRE incident.  Contact the Bureau of Land Management for more information on this incident.,"Horn Road and Mail Route Road, 9 miles southeast of Termo  ",11/8/18 11:25,11/8/18,11:25:00
Little Fire,CAL FIRE San Bernardino Unit,6/15/12 8:45,San Bernardino County,88,88 acres - 100% contained,"Hwy 138 near Summit Valley Rd, south of Hesperia",6/14/12 8:36,6/14/12,8:36:00
Moore Fire,CAL FIRE Nevada Yuba Placer Unit,6/21/16 15:45,Placer County,88,88 acres - 100% contained,"off Moore Rd and South Dowd Rd, west of Lincoln",6/21/16 12:24,6/21/16,12:24:00
Plaza Fire,CAL FIRE Mariposa-Madera-Merced Unit,1/4/19 10:24,Merced County,88,88 acres - 100% contained,off Highway 33 and south of Highway 152,5/20/18 13:07,5/20/18,13:07:00
Redinger Fire,USFS Sierra National Forest ,1/4/19 9:13,Madera County,88,88 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.,"Mammoth Road, 29 miles north of Clovis",8/27/18 23:19,8/27/18,23:19:00
Scott Fire,CAL FIRE Amador-Eldorado Unit,7/11/16 6:35,Sacramento County,87,87 acres - 100% contained,"off of Scotts Road and Latrobe Road, Rancho Murrieta",7/10/16 15:30,7/10/16,15:30:00
Galley Fire,CAL FIRE Tulare Unit,9/3/12 18:15,Tulare County,86,86 acres - 100% contained,"Hot Springs Rd (M56) x West Old Control Rd, Fountain Springs",9/3/12 4:30,9/3/12,4:30:00
Vista Fire,Ventura County Fire,1/9/18 13:45,Ventura County,86,86 acres - 100% contained,off Hwy 33 & Casitas Vista Rd,10/24/17 14:44,10/24/17,14:44:00
Adelaida Fire,CAL FIRE San Luis Obispo,7/7/13 22:00,San Luis Obispo County,85,85 acres - 100% contained,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",7/7/13 13:16,7/7/13,13:16:00
Butler Fire,San Bernardino National Forest,9/4/07 18:00,San Bernardino County,85,100% contained - 85 acresThe fire is burning south of Butler Peak and west of Big Bear Lake ,South of Butler Peak and west of Big Bear Lake ,9/1/07 0:30,9/1/07,0:30:00
Dollar Fire,USFS - San Bernardino National Forest,1/9/18 12:03,San Bernardino County,85,85 acres - 100% contained***This is not a CAL FIRE incident. For more information click on the link above from the USFS - San Bernardino National Forest,"off Hwy 330 & Old City Creek Rd, southwest of Running Springs",7/22/17 13:35,7/22/17,13:35:00
Grub Fire,CAL FIRE Madera-Mariposa-Merced Unit,8/6/16 19:50,Madera County,85,85 acres - 100% contained,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",8/4/16 14:13,8/4/16,14:13:00
Marlborough Fire,CAL FIRE/Riverside County Fire Department,1/9/18 12:49,Riverside County,85,85 acres - 100% contained,Marlborough ave and Northgate street,8/31/17 10:13,8/31/17,10:13:00
Ranch Fire,CAL FIRE Santa Clara Unit,1/9/18 11:11,Santa Clara County,85,3 fires totaling 85 acres - 100% contained,"Off Grant Road, Mt. Hamilton, east of San Jose",6/29/17 13:56,6/29/17,13:56:00
Saw Fire,CAL FIRE Humboldt-Del Norte Unit,1/9/18 12:17,Humboldt County,85,85 acres - 100% contained,"Off Alderpoint Rd & Lower Sawmill Rd, east of Garberville",8/3/17 11:58,8/3/17,11:58:00
Skyline Fire,CAL FIRE Tehama-Glenn Unit,6/19/12 16:30,Tehama County,85,85 acres - 100% contained,"Skyline Drive, north of Red Bluff ",6/19/12 12:48,6/19/12,12:48:00
Yosemite Fire,CAL FIRE San Luis Obispo Unit,8/28/11 18:30,San Luis Obispo County,85,85 acres - 100% contained,"Hwy 41 & Yosemite Dr, south of Shandon",8/28/11 16:27,8/28/11,16:27:00
Boca Fire,US Forest Service - Tahoe National Forest,8/19/14 16:45,Nevada County,84,84 acres - 100% contained,"off Interstate 80 at Hirschdale, east of Truckee ",8/18/14 10:00,8/18/14,10:00:00
Dunnigan Fire,CAL FIRE Sonoma-Lake-Napa Unit,7/15/16 15:40,Yolo County,84,84 acres - 100% contained,"off County Road 86 & County Road 6, west of Dunnigan",7/15/16 14:00,7/15/16,14:00:00
Salt Fire ,CAL FIRE Tuolumne-Calaveras Unit,9/5/12 18:00,Calaveras County,84,84 acres - 100% contained,"off Spring Valley Rd & Hunt Rd, northwest of Copperopolis",9/5/12 9:30,9/5/12,9:30:00
Murray Fire ,CAL FIRE Tuolumne-Calaveras Unit,7/28/11 9:00,Calaveras County,83,83 acres - 100% contained,"Murray Dale Lane, San Andreas",7/25/11 13:44,7/25/11,13:44:00
Old Fire,CAL FIRE San Benito Monterey Unit,6/12/16 15:45,San Benito County,83,83 acres - 100% contained,"off Old Hernandez Road, five miles east of Pinnacles National Park",6/12/16 12:45,6/12/16,12:45:00
Country Fire,CAL FIRE San Benito-Monterey,1/9/18 12:27,Monterey County,82,82 acres - 100% contained,Portuguese Canyon Rd. at Cross Country Rd. southeast of Bradley,8/7/17 18:08,8/7/17,18:08:00
Retek Fire,CAL FIRE Mendocino Unit,11/22/13 17:30,Mendocino County,82,82 acres - 100% contained,"Off Hwy 101 at Henry Station Rd, north of Hopland",11/22/13 10:06,11/22/13,10:06:00
Cary Fire,CDF  Riverside Unit/ Riverside County Fire,7/12/06 19:00,Riverside,81,100% contained - 81 acres,Hwy 371 & Cary Rd,7/12/06 12:39,7/12/06,12:39:00
Graham Fire ,CAL FIRE Tuolumne-Calaveras Unit,8/1/12 18:30,Tuolumne County,81,81 acres - 100% contained.,"Off Clements Rd, northeast of Groveland",7/25/12 15:10,7/25/12,15:10:00
Loma Fire,Camp Pendleton - Cleveland National Forest,1/9/18 13:38,San Diego County,81,81 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for information from the USFS,"Loma Range 217, Camp Pendleton",10/13/17 15:40,10/13/17,15:40:00
Minto Fire,CAL FIRE / Riverside County Fire,8/31/10 9:00,Riverside County,81,81 acres - 100% contained,Minto Way and Sage Rd. in Hemet,8/30/10 15:22,8/30/10,15:22:00
Bayne Fire,CAL FIRE Amador - El Dorado Unit,7/3/07 8:00,El Dorado County,80,100% contained - 80 acres Bayne Rd in the town of Coloma,Bayne Rd in the town of Coloma,7/1/07 15:00,7/1/07,15:00:00
Baker Fire,CAL FIRE Tehama-Glenn Unit,8/4/16 7:50,Tehama County,80,80 acres - 100% contained,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",8/3/16 17:27,8/3/16,17:27:00
Bitter Fire,CAL FIRE San Luis Obispo Unit,8/31/12 17:30,San Luis Obispo County,80,80 acres - 100% contained,Bitterwater Road & Bitterwater Valley Road in Shandon,8/31/12 14:18,8/31/12,14:18:00
Butte Fire,CAL FIRE / Fresno County Fire,4/9/13 15:30,Fresno County,80,80 acres - 100% contained,Butte Ave near Conejo Ave near the community of Helm.,4/9/13 12:35,4/9/13,12:35:00
Casa Fire,CAL FIRE Santa Clara Unit,8/31/14 8:15,Santa Clara County,80,80 acres - 100% contained,"Hwy 152 at Casa De Fruta, 10 miles east of Gilroy",8/28/14 15:10,8/28/14,15:10:00
Hahn Fire ,CAL FIRE Sonoma-Lake-Napa Unit,7/19/11 18:30,Colusa County,80,80 acres - 100% contained,Off Cortina School Rd and Hahn Rd outside Arbuckle,7/19/11 15:57,7/19/11,15:57:00
Harrison Fire,"**This is no longer a CAL FIRE incident.  At 6 pm on Thursday, June 04, BIA took over management of the fire**",6/5/15 16:32,Riverside County,80,80 acres - 95% contained,Avenue 66 and Harrison Street near Thermal  ,6/1/15 10:16,6/1/15,10:16:00
Hoag Fire,CAL FIRE Tehama Glenn Unit,6/11/16 16:15,Tehama County,80,80 acres - 100% contained1 structure destroyed,"off Corning Road and Gaylord Avenue, east of Corning",6/11/16 14:30,6/11/16,14:30:00
Holiday Fire,Bureau of Indian Affairs,1/9/18 13:49,,80,80 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for more information.,"off Hwy 395, south of Gardnerville in Nevada",12/28/17 20:51,12/28/17,20:51:00
Otay Fire,CAL FIRE San Diego Unit / Chula Vista Fire Department,6/26/15 22:15,San Diego County,80,80 acres - 100% contained,off Otay Lakes Road and Woods Drive in Chula Vista,6/26/15 16:06,6/26/15,16:06:00
San Tim Fire,CAL FIRE/Riverside County Fire,7/20/11 19:30,Riverside County,80,80 acres - 100% contained,"San Timoteo Canyon Road, NW of Redlands Blvd in Moreno Valley",7/20/11 13:58,7/20/11,13:58:00
Shandon Fire,CAL FIRE San Luis Obispo Unit,1/4/19 8:58,San Luis Obispo County,80,80 acres - 100% contained.,"Gillis Canyon Road and San Juan Road, east of Paso Robles",9/29/18 9:30,9/29/18,9:30:00
Skunk Fire,CDF Amador-El Dorado Unit,10/25/06 7:00,El Dorado County ,80,100% contained - 80 acres ,Salmon Falls Rd & Skunk Hallow,10/24/06 14:00,10/24/06,14:00:00
Spring 2 Fire,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 9:51,Lake County,80,80 acres - 100% contained,"Pawnee Dr. and New Long Valley Dr., northeast of Clearlake ",7/9/18 16:46,7/9/18,16:46:00
Whitewater Fire,CAL FIRE/Riverside County Fire,7/19/11 14:05,Riverside County,80,80 acres - 100% contained,"WB I 10, west of Whitewater Canyon Road",7/19/11 10:28,7/19/11,10:28:00
Fountain Fire ,CAL FIRE Tulare Unit,1/9/18 10:23,Tulare County,79,79 acres - 100% contained,"off Avenue 56 & Road 256, 2 miles east of Ducor",5/31/17 11:30,5/31/17,11:30:00
Mills File,Plumas National Forest,1/9/18 13:18,Plumas County,79,79 acres - 100% contained *** This is not a CAL FIRE incidnet. Click the link for more information.,"Hwy 89, Ã‚Â_ mile north of Crescent Mills",9/3/17 20:32,9/3/17,20:32:00
Montgomery Fire,Stanislaus National Forest ,9/9/14 19:45,Mariposa County,79,79 acres - 100% contained. ***This was not a CAL FIRE incident. Click the link above for more information.,"Near Ponderosa Way & Tuolumne River Rd, south of Coulterville ",9/7/14 16:46,9/7/14,16:46:00
80 Fire,Nevada-Yuba-Placer Unit,8/24/07 20:00,Nevada County,78,100% contained - 78 acres,I-80 near Donner Summit,8/22/07 13:46,8/22/07,13:46:00
Castro Fire,CAL FIRE Santa Clara Unit,1/9/18 12:04,Santa Clara County,78,78 acres - 100% contained,"off Castro Valley Rd. &  Hwy 101,  southwest of Gilroy",7/23/17 16:07,7/23/17,16:07:00
Sabina Fire,CAL FIRE/Riverside County Fire,7/24/14 9:00,Riverside County,78,78 acres - 100% contained,Sabina Road and Ballinger Road in the community of Aguanga,7/23/14 10:47,7/23/14,10:47:00
Sherwood Fire,Ventura County Fire Department,7/15/16 14:00,Ventura County,78,78 acres - 100% contained,"ear Lake Sherwood, southwest of Thousand Oaks",7/13/16 15:52,7/13/16,15:52:00
Spring Fire ,CAL FIRE Tehama-Glenn Unit,1/9/18 10:25,Tehama County,78,78 acres - 100% contained,"off of Spring Branch Rd, 7 miles east of Cottonwood",6/4/17 16:22,6/4/17,16:22:00
3-12 Fire,CAL FIRE Lassen-Modoc Unit,7/25/15 22:00,Modoc County,77,77 acres - 100% contained,"in Dixie Valley, southwest of Bieber",7/23/15 17:30,7/23/15,17:30:00
Cruces Fire,Santa Barbara County Fire,1/4/19 9:40,Santa Barbara County,77,77 acres - 100% contained ,"off Highway 1 and Highway 101, North of Gaviota",7/18/18 11:55,7/18/18,11:55:00
Anchor Fire,CAL FIRE Fresno-Kings Unit,1/4/19 9:59,Fresno County,76,76 acres - 100% contained ,"Anchor Ave and Hills Valley Rd, north of Orange Cove",6/27/18 12:39,6/27/18,12:39:00
Creek Fire,CAL FIRE/Riverside County Fire,6/9/12 20:30,Riverside County,76,76 acres - 100% contained,East Hemet off of Indian Creek Road.,6/8/12 17:29,6/8/12,17:29:00
Tivy Fire,CALFIRE/Fresno County Fire,1/9/18 10:31,Fresno County,76,76 acres - 100% contained,ear Tivy Mountain,6/11/17 22:45,6/11/17,22:45:00
198 Fire,CAL FIRE San Benito-Monterey Unt,12/1/11 11:30,Monterey County,75,75 acres - 100% contained,Hwy 198 at Priest Valley east of King City,11/30/11 21:35,11/30/11,21:35:00
Chrome Fire,CAL FIRE Tehama-Glenn Unit,1/4/19 10:21,Glenn County,75,75 acres - 100% contained,"Hwy 162 and Forest Hwy 7, northwest of Elk Creek",5/28/18 17:33,5/28/18,17:33:00
Deer Fire,CDF Amador-El Dorado Unit,9/1/06 7:00,El Dorado,75,100% contained - estimated 75 acres,Cameron Park area,8/31/06 17:00,8/31/06,17:00:00
Fairview Fire,CAL FIRE/Riverside County Fire,5/26/10 17:30,Riverside County,75,75 acres - 100% containment,"Fairview Ave and Whittier Ave, East Hemet",5/26/10 14:35,5/26/10,14:35:00
Gilman Fire,CAL FIRE Riverside Unit / Riverside County Fire,9/6/10 8:00,Riverside County,75,75 acres - 100% contained,"Gilman Springs and Jack Rabbit Trail, Beaumont",9/5/10 15:55,9/5/10,15:55:00
Gopher Fire ,CAL FIRE Tuolumne-Calaveras Unit,7/23/12 14:00,Calaveras County ,75,75 acres - 100% contained,"Gopher Ridge, South of Highway 4, Copperopolis, Ca.",7/23/12 10:49,7/23/12,10:49:00
